Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee
2017-01-16,20:00 (14:00),Africa Cup of Nations,Group stage,Mon,Away,L,0,1,cd Congo DR,,,61,,Medhi Benatia,4-3-2-1,Hamada Nampiandraza
2017-01-20,20:00 (14:00),Africa Cup of Nations,Group stage,Fri,Home,W,3,1,tg Togo,,,53,,Medhi Benatia,4-1-4-1,Mahamadou Keita
2017-01-24,20:00 (14:00),Africa Cup of Nations,Group stage,Tue,Home,W,1,0,ci Côte d'Ivoire,,,34,,Medhi Benatia,4-2-3-1,Alioum Alioum
2017-01-29,20:00 (14:00),Africa Cup of Nations,Quarter-finals,Sun,Away,L,0,1,eg Egypt,,,48,,Medhi Benatia,4-1-4-1,Eric Otogo-Castane
2017-03-24,20:00 (16:00),Friendlies (M),Friendlies (M),Fri,Home,W,2,0,bf Burkina Faso,,,,,M'barek Boussoufa,4-1-4-1,Youssef Essrairi
2017-03-28,19:00 (14:00),Friendlies (M),Friendlies (M),Tue,Home,W,1,0,tn Tunisia,,,,,M'barek Boussoufa,4-1-4-1,Issa Sy
2017-05-31,17:30 (13:30),Friendlies (M),Friendlies (M),Wed,Home,L,1,2,nl Netherlands,,,,,M'barek Boussoufa,4-1-4-1,Mahamadou Keita
2017-06-10,15:00 (10:00),Africa Cup of Nations qualification,Group stage,Sat,Away,L,0,1,cm Cameroon,,,,"20,000",M'barek Boussoufa,4-1-4-1,Bamlak Tessema
2017-09-01,21:00 (16:00),WCQ,Third round,Fri,Home,W,6,0,ml Mali,,,,,Medhi Benatia,,Alioum Alioum
2017-09-05,19:00 (15:00),WCQ,Third round,Tue,Away,D,0,0,ml Mali,,,,,Medhi Benatia,,Hamada Nampiandraza
2017-10-07,20:00 (15:00),WCQ,Third round,Sat,Home,W,3,0,ga Gabon,,,,,Medhi Benatia,,Victor Gomes
2017-10-10,15:30 (09:30),Friendlies (M),Friendlies (M),Tue,Away,W,3,1,kr Korea Republic,,,,,Fayçal Fajr,4-2-3-1,Alain Bieri
2017-11-11,17:30 (12:30),WCQ,Third round,Sat,Away,W,2,0,ci Côte d'Ivoire,,,,,Medhi Benatia,,Bakary Papa Gassama
2016-03-26,16:00 (13:00),Africa Cup of Nations qualification,Group stage,Sat,Away,W,1,0,cv Cape Verde,,,,,Manuel da Costa,4-2-3-1,Alioum Alioum
2016-03-29,20:00 (15:00),Africa Cup of Nations qualification,Group stage,Tue,Home,W,2,0,cv Cape Verde,,,,,Munir,4-2-3-1,Mahamadou Keita
2016-05-27,19:00 (14:00),Friendlies (M),Friendlies (M),Fri,Home,W,2,0,cg Congo,,,,,Medhi Benatia,,Issa Sy
2016-06-03,19:00 (14:00),Africa Cup of Nations qualification,Group stage,Fri,Away,D,1,1,ly Libya,,,,,Medhi Benatia,4-2-3-1,Youssef Essrairi
2016-08-31,20:30 (14:30),Friendlies (M),Friendlies (M),Wed,Away,D,0,0,al Albania,,,,,Medhi Benatia,3-4-3,Matej Jug
2016-09-04,20:00 (15:00),Africa Cup of Nations qualification,Group stage,Sun,Home,W,2,0,st São Tomé,,,,,Manuel da Costa,4-5-1,Fidel Gomes
2016-10-08,16:00 (11:00),WCQ,Third round,Sat,Away,D,0,0,ga Gabon,,,,,Manuel da Costa,,Hamada Nampiandraza
2016-10-11,20:00 (15:00),Friendlies (M),Friendlies (M),Tue,Home,W,4,0,ca Canada,,,,"8,000",Manuel da Costa,4-2-3-1,Mohammed Abdulla Hassan
2016-11-12,20:00 (15:00),WCQ,Third round,Sat,Home,D,0,0,ci Côte d'Ivoire,,,,,Medhi Benatia,,Bernard Camille
2016-11-15,20:00 (15:00),Friendlies (M),Friendlies (M),Tue,Home,W,2,1,tg Togo,,,,,Omar El Kaddouri,,Abdelrahman Al Jassim
2015-03-28,19:00 (15:00),Friendlies (M),Friendlies (M),Sat,Home,L,0,1,uy Uruguay,,,,"58,000",Houssine Kharja,4-2-3-1,Malang Diédhiou
2015-06-12,20:00 (15:00),Africa Cup of Nations qualification,Group stage,Fri,Home,W,1,0,ly Libya,,,,,Houssine Kharja,4-2-2-2,William Agbovi
2015-09-05,15:30 (11:30),Africa Cup of Nations qualification,Group stage,Sat,Away,W,3,0,st São Tomé,,,,,Issam El Adoua,4-2-3-1,João Amado Goma
2015-10-09,19:00 (14:00),Friendlies (M),Friendlies (M),Fri,Home,L,0,1,ci Côte d'Ivoire,,,,"22,000",Issam El Adoua,4-2-3-1,Youssef Essrairi
