Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee
2017-10-09,21:45 (14:45),WCQ,First round,Mon,Away,W,2,0,ua Ukraine,,,,"60,200",Luka Modrić,4-2-3-1,Felix Brych
2017-11-09,20:45 (14:45),WCQ,Second round,Thu,Home,W,4,1,gr Greece,,,,"30,013",Luka Modrić,4-2-3-1,Gianluca Rocchi
2017-11-12,21:45 (14:45),WCQ,Second round,Sun,Away,D,0,0,gr Greece,,,,"18,667",Luka Modrić,4-2-3-1,Björn Kuipers
2018-03-23,20:30,Friendlies (M),Friendlies (M),Fri,Away,L,0,2,pe Peru,,,,,Luka Modrić,4-2-3-1,Ismail Elfath
2018-03-27,21:00 (22:00),Friendlies (M),Friendlies (M),Tue,Away,W,1,0,mx Mexico,,,,"79,128",Ivan Rakitić,4-2-3-1,Mario Escobar
2018-06-03,15:00 (10:00),Friendlies (M),Friendlies (M),Sun,Away,L,0,2,br Brazil,,,,"54,000",Luka Modrić,4-2-3-1,Michael Oliver
2018-06-08,18:00 (12:00),Friendlies (M),Friendlies (M),Fri,Home,W,2,1,sn Senegal,,,,"15,998",Luka Modrić,4-2-3-1,Ádám Farkas
2018-06-16,21:00 (15:00),FIFA World Cup,Group stage,Sat,Neutral,W,2,0,ng Nigeria,1.5,0.7,55,"31,136",Luka Modrić,4-2-3-1,Sandro Ricci
2018-06-21,21:00 (14:00),FIFA World Cup,Group stage,Thu,Neutral,W,3,0,ar Argentina,1.9,1.3,43,"43,319",Luka Modrić,4-1-4-1,Ravshan Irmatov
2018-06-26,21:00 (14:00),FIFA World Cup,Group stage,Tue,Neutral,W,2,1,is Iceland,0.7,2.1,61,"43,472",Luka Modrić,4-3-2-1,Antonio Matéu Lahoz
2018-07-01,21:00 (14:00),FIFA World Cup,Round of 16,Sun,Neutral,D,1 (3),1 (2),dk Denmark,2.5,0.9,54,"40,851",Luka Modrić,4-1-4-1,Néstor Pitana
2018-07-07,21:00 (14:00),FIFA World Cup,Quarter-finals,Sat,Neutral,D,2 (4),2 (3),ru Russia,1.7,1.0,64,"44,287",Luka Modrić,4-2-3-1,Sandro Ricci
2018-07-11,21:00 (14:00),FIFA World Cup,Semi-finals,Wed,Neutral,W,2,1,eng England,1.7,0.6,55,"78,011",Luka Modrić,4-1-4-1,Cüneyt Çakιr
2018-07-15,18:00 (11:00),FIFA World Cup,Final,Sun,Neutral,L,2,4,fr France,1.1,1.1,65,"78,011",Luka Modrić,4-1-4-1,Néstor Pitana
2018-09-06,19:45 (14:45),Friendlies (M),Friendlies (M),Thu,Away,D,1,1,pt Portugal,,,,"26,356",Luka Modrić,4-2-3-1,Javier Estrada
2018-09-11,20:45 (14:45),UEFA Nations League,League A,Tue,Away,L,0,6,es Spain,,,,"26,900",Luka Modrić,4-2-3-1,Benoît Bastien
2018-10-12,20:45 (14:45),UEFA Nations League,League A,Fri,Home,D,0,0,eng England,,,,,Luka Modrić,4-2-3-1,Felix Brych
2018-10-15,20:45 (14:45),Friendlies (M),Friendlies (M),Mon,Home,W,2,1,jo Jordan,,,,,Domagoj Vida,4-1-4-1,Sándor Andó-Szabó
2018-11-15,20:45 (14:45),UEFA Nations League,League A,Thu,Home,W,3,2,es Spain,,,,"33,018",Luka Modrić,4-2-3-1,Aliaksei Kulbakou
2018-11-18,14:00 (09:00),UEFA Nations League,League A,Sun,Away,L,1,2,eng England,,,,"78,221",Luka Modrić,4-2-3-1,Tasos Sidiropoulos
2017-03-24,20:45 (15:45),WCQ,First round,Fri,Home,W,1,0,ua Ukraine,,,,"27,351",Luka Modrić,4-2-3-1,Antonio Matéu Lahoz
2017-03-28,19:00 (12:00),Friendlies (M),Friendlies (M),Tue,Away,L,0,3,ee Estonia,,,,"4,987",Ivan Perišić,3-2-3-2,Mark Clattenburg
2017-05-27,17:10 (20:10),Friendlies (M),Friendlies (M),Sat,Away,W,2,1,mx Mexico,,,,"62,317",Duje Čop,4-2-2-2,Baldomero Toledo
2017-06-11,18:45 (14:45),WCQ,First round,Sun,Away,L,0,1,is Iceland,,,,"9,775",Luka Modrić,4-2-3-1,Alberto Undiano
2017-09-03,14:30 (08:30),WCQ,First round,Sun,Home,W,1,0,xk Kosovo,,,,"6,839",Luka Modrić,4-2-3-1,Stefan Johannesson
2017-09-05,21:45 (14:45),WCQ,First round,Tue,Away,L,0,1,tr Türkiye,,,,"28,600",Luka Modrić,4-2-3-1,Viktor Kassai
2017-10-06,20:45 (14:45),WCQ,First round,Fri,Home,D,1,1,fi Finland,,,,"7,578",Luka Modrić,4-2-3-1,Daniel Stefański
2017-10-09,21:45 (14:45),WCQ,First round,Mon,Away,W,2,0,ua Ukraine,,,,"60,200",Luka Modrić,4-2-3-1,Felix Brych
2017-11-09,20:45 (14:45),WCQ,Second round,Thu,Home,W,4,1,gr Greece,,,,"30,013",Luka Modrić,4-2-3-1,Gianluca Rocchi
2017-11-12,21:45 (14:45),WCQ,Second round,Sun,Away,D,0,0,gr Greece,,,,"18,667",Luka Modrić,4-2-3-1,Björn Kuipers
2014-09-09,20:45 (14:45),Euro Qualifying,Group stage,Tue,Home,W,2,0,mt Malta,,,70,"8,333",Darijo Srna,4-1-4-1,Vladislav Bezborodov
2014-10-10,21:45 (14:45),Euro Qualifying,Group stage,Fri,Away,W,1,0,bg Bulgaria,,,51,"30,000",Darijo Srna,4-1-4-1,Antonio Matéu Lahoz
2014-10-13,20:45 (14:45),Euro Qualifying,Group stage,Mon,Home,W,6,0,az Azerbaijan,,,61,"16,021",Darijo Srna,4-4-2,Stéphan Studer
2014-11-16,20:45 (14:45),Euro Qualifying,Group stage,Sun,Away,D,1,1,it Italy,,,60,"55,000",Darijo Srna,4-4-1-1,Björn Kuipers
2015-03-28,18:00 (13:00),Euro Qualifying,Group stage,Sat,Home,W,5,1,no Norway,,,52,"23,920",Darijo Srna,4-4-1-1,Carlos Velasco
2015-06-12,20:45 (14:45),Euro Qualifying,Group stage,Fri,Home,D,1,1,it Italy,,,43,75,Darijo Srna,4-2-3-1,Martin Atkinson
2015-09-03,21:00 (12:00),Euro Qualifying,Group stage,Thu,Away,D,0,0,az Azerbaijan,,,62,"10,000",Luka Modrić,4-2-3-1,Ruddy Buquet
2015-09-06,18:00 (12:00),Euro Qualifying,Group stage,Sun,Away,L,0,2,no Norway,,,58,"26,751",Darijo Srna,4-4-1-1,Viktor Kassai
2015-10-10,20:45 (14:45),Euro Qualifying,Group stage,Sat,Home,W,3,0,bg Bulgaria,,,63,150,Darijo Srna,4-2-3-1,Artur Soares Dias
2015-10-13,20:45 (14:45),Euro Qualifying,Group stage,Tue,Away,W,1,0,mt Malta,,,69,"5,835",Darijo Srna,4-1-4-1,Mark Clattenburg
2016-03-23,18:00 (13:00),Friendlies (M),Friendlies (M),Wed,Home,W,2,0,il Israel,,,,"10,545",Darijo Srna,3-1-4-2,István Vad II
2016-03-26,18:00 (13:00),Friendlies (M),Friendlies (M),Sat,Away,D,1,1,hu Hungary,,,,"20,300",Luka Modrić,4-3-2-1,Radek Příhoda
2016-05-27,20:30 (14:30),Friendlies (M),Friendlies (M),Fri,Home,W,1,0,md Moldova,,,,"4,500",Vedran Ćorluka,4-2-2-2,Ognjen Valjić
2016-06-04,20:15 (14:15),Friendlies (M),Friendlies (M),Sat,Home,W,10,0,sm San Marino,,,,"3,603",Darijo Srna,4-2-3-1,Mitja Žganec
2016-06-12,15:00 (09:00),UEFA Euro,Group stage,Sun,Neutral,W,1,0,tr Türkiye,,,49,"43,842",Darijo Srna,4-2-3-1,Jonas Eriksson
2016-06-17,18:00 (12:00),UEFA Euro,Group stage,Fri,Neutral,D,2,2,cz Czech Republic,,,55,"38,376",Darijo Srna,4-2-3-1,Mark Clattenburg
2016-06-21,21:00 (15:00),UEFA Euro,Group stage,Tue,Neutral,W,2,1,es Spain,,,32,"37,245",Darijo Srna,4-2-3-1,Björn Kuipers
2016-06-25,21:00 (15:00),UEFA Euro,Round of 16,Sat,Neutral,L,0,1,pt Portugal,,,59,"33,523",Darijo Srna,4-2-3-1,Carlos Velasco
2016-09-05,20:45 (14:45),WCQ,First round,Mon,Home,D,1,1,tr Türkiye,,,,,Luka Modrić,4-4-1-1,Szymon Marciniak
2016-10-06,20:45 (14:45),WCQ,First round,Thu,Away,W,6,0,xk Kosovo,,,,"14,612",Vedran Ćorluka,4-4-2,David Fernández
2016-10-09,19:00 (12:00),WCQ,First round,Sun,Away,W,1,0,fi Finland,,,,"15,567",Mario Mandžukić,4-2-2-2,Ruddy Buquet
2016-11-12,18:00 (12:00),WCQ,First round,Sat,Home,W,2,0,is Iceland,,,,,Vedran Ćorluka,4-4-2,Gianluca Rocchi
