Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee
2017-09-02,20:45 (14:45),WCQ,First round,Sat,Home,W,3,0,it Italy,,,,"73,628",Sergio Ramos,4-3-3,Björn Kuipers
2017-09-05,20:45 (14:45),WCQ,First round,Tue,Away,W,8,0,li Liechtenstein,,,,"5,864",Sergio Ramos,3-4-3,Ivaylo Stoyanov
2017-10-06,20:45 (14:45),WCQ,First round,Fri,Home,W,3,0,al Albania,,,,"25,397",Sergio Ramos,4-3-3,Aleksey Eskov
2017-10-09,21:45 (14:45),WCQ,First round,Mon,Away,W,1,0,il Israel,,,,"28,700",Sergio Ramos,4-2-3-1,Craig Thomson
2017-11-11,21:30 (15:30),Friendlies (M),Friendlies (M),Sat,Home,W,5,0,cr Costa Rica,,,,,Sergio Ramos,3-4-3,Anastasios Sidiropoulos
2017-11-14,21:45 (13:45),Friendlies (M),Friendlies (M),Tue,Away,D,3,3,ru Russia,,,,,Sergio Ramos,4-1-4-1,Gianluca Rocchi
2014-09-08,20:45 (14:45),Euro Qualifying,Group stage,Mon,Home,W,5,1,mk N. Macedonia,,,62,"25,346",Iker Casillas,4-1-4-1,Tasos Sidiropoulos
2014-10-09,20:45 (14:45),Euro Qualifying,Group stage,Thu,Away,L,1,2,sk Slovakia,,,67,"9,478",Iker Casillas,4-4-1-1,Björn Kuipers
2014-10-12,20:45 (14:45),Euro Qualifying,Group stage,Sun,Away,W,4,0,lu Luxembourg,,,66,"8,500",Andrés Iniesta,4-3-3,Paweł Gil
2014-11-15,20:45 (14:45),Euro Qualifying,Group stage,Sat,Home,W,3,0,by Belarus,,,72,"19,249",Iker Casillas,4-4-2,Kenn Hansen
2015-03-27,20:45 (15:45),Euro Qualifying,Group stage,Fri,Home,W,1,0,ua Ukraine,,,64,"28,000",Iker Casillas,4-1-4-1,Cüneyt Çakιr
2015-06-14,21:45 (14:45),Euro Qualifying,Group stage,Sun,Away,W,1,0,by Belarus,,,65,"13,121",Iker Casillas,4-4-2,Robert Schörgenhofer
2015-09-05,20:45 (14:45),Euro Qualifying,Group stage,Sat,Home,W,2,0,sk Slovakia,,,79,"19,874",Iker Casillas,4-3-3,Damir Skomina
2015-09-08,20:45 (14:45),Euro Qualifying,Group stage,Tue,Away,W,1,0,mk N. Macedonia,,,74,"28,843",Sergio Ramos,4-5-1,Paolo Tagliavento
2015-10-09,20:45 (14:45),Euro Qualifying,Group stage,Fri,Home,W,4,0,lu Luxembourg,,,74,"14,472",Iker Casillas,4-3-3,Sébastien Delferière
2015-10-12,21:45 (14:45),Euro Qualifying,Group stage,Mon,Away,W,1,0,ua Ukraine,,,61,"61,248",Cesc Fàbregas,4-1-4-1,Milorad Mažić
2016-03-24,20:45 (15:45),Friendlies (M),Friendlies (M),Thu,Away,D,1,1,it Italy,,,,"23,300",Sergio Ramos,4-1-4-1,Deniz Aytekin
2016-03-27,21:45 (14:45),Friendlies (M),Friendlies (M),Sun,Away,D,0,0,ro Romania,,,,"26,998",Iker Casillas,4-2-3-1,Ruddy Buquet
2016-05-29,18:00 (12:00),Friendlies (M),Friendlies (M),Sun,Home,W,3,1,ba Bosnia & Herz'na,,,,"14,000",Cesc Fàbregas,4-2-3-1,Stephan Klossner
2016-06-01,16:30 (10:30),Friendlies (M),Friendlies (M),Wed,Away,W,6,1,kr Korea Republic,,,,"31,800",Iker Casillas,4-1-4-1,Harald Lechner
2016-06-07,20:45 (14:45),Friendlies (M),Friendlies (M),Tue,Home,L,0,1,ge Georgia,,,,"14,400",Sergio Ramos,4-1-4-1,Vilhjálmur Alvar Þórarinsson
2016-06-13,15:00 (09:00),UEFA Euro,Group stage,Mon,Neutral,W,1,0,cz Czech Republic,,,72,"29,400",Sergio Ramos,4-3-3,Szymon Marciniak
2016-06-17,21:00 (15:00),UEFA Euro,Group stage,Fri,Neutral,W,3,0,tr Türkiye,,,61,"33,409",Sergio Ramos,4-3-3,Milorad Mažić
2016-06-21,21:00 (15:00),UEFA Euro,Group stage,Tue,Neutral,L,1,2,hr Croatia,,,68,"37,245",Sergio Ramos,4-3-3,Björn Kuipers
