Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,,
2008-03-26,14:00 (02:00),WCQ,Third round,Wed,Away,D,0,0,cn China PR,,,,"33,000",Lucas Neill,,Mohamed Omar Al Saeedi,,
2008-06-01,17:00 (03:00),WCQ,Third round,Sun,Home,W,1,0,iq Iraq,,,,"48,678",Harry Kewell,,Ravshan Irmatov,,
2008-06-07,20:00 (12:00),WCQ,Third round,Sat,Away,L,0,1,iq Iraq,,,,"8,000",Harry Kewell,,Kazuhiko Matsumura,,
2008-06-14,19:00 (12:00),WCQ,Third round,Sat,Away,W,3,1,qa Qatar,,,,"12,000",Harry Kewell,,Lee Giyoung,,
2008-06-22,18:00 (04:00),WCQ,Third round,Sun,Home,L,0,1,cn China PR,,,,"70,054",Bruce Djite,,Khalil Al Ghamdi,,
2008-09-10,20:30 (11:30),WCQ,Fourth round,Wed,Away,W,1,0,uz Uzbekistan,,,,"34,000",Lucas Neill,,Saad Mane,,
2008-10-15,20:00 (06:00),WCQ,Fourth round,Wed,Home,W,4,0,qa Qatar,,,,"34,320",Lucas Neill,,Khalil Al Ghamdi,,
2008-11-19,18:00 (10:00),WCQ,Fourth round,Wed,Away,W,1,0,bh Bahrain,,,,"10,000",Lucas Neill,,Masoud Moradi,,
2009-02-11,19:20 (05:20),WCQ,Fourth round,Wed,Away,D,0,0,jp Japan,,,,"66,000",Lucas Neill,,Mohsen Basma,,
2009-04-01,20:00 (05:00),WCQ,Fourth round,Wed,Home,W,2,0,uz Uzbekistan,,,,"57,292",Lucas Neill,,Ali Hamad Al Badwawi,,
2009-06-06,19:00 (12:00),WCQ,Fourth round,Sat,Away,D,0,0,qa Qatar,,,,"7,000",Lucas Neill,,Abdul Malik Abdul Bashir,,
2009-06-10,20:00 (06:00),WCQ,Fourth round,Wed,Home,W,2,0,bh Bahrain,,,,"39,540",Mark Schwarzer,,Abdullah Al Hilali,,
2009-06-17,20:20 (06:20),WCQ,Fourth round,Wed,Home,W,2,1,jp Japan,,,,"69,238",Lucas Neill,,Khalil Al Ghamdi,,
2010-01-06,17:30 (09:30),AFC Asian Cup qualification,Qualifying round,Wed,Away,D,2,2,kw Kuwait,,,,"20,000",Craig Moore,,Ravshan Irmatov,,
2010-03-03,19:00 (04:00),AFC Asian Cup qualification,Qualifying round,Wed,Home,W,1,0,id Indonesia,,,,"20,422",Jason Culina,,Kenji Ōgiya,,
2010-06-13,20:30 (14:30),FIFA World Cup,Group stage,Sun,Neutral,L,0,4,de Germany,,,,"62,660",,4-4-2,,,
2010-06-19,16:00 (10:00),FIFA World Cup,Group stage,Sat,Neutral,D,1,1,gh Ghana,,,,"34,812",,4-5-1,,,
2010-06-23,20:30 (14:30),FIFA World Cup,Group stage,Wed,Neutral,W,2,1,rs Serbia,,,,"37,836",,4-4-1-1,,,
2006-02-22,18:35 (10:35),AFC Asian Cup qualification,Qualifying round,Wed,Away,W,3,1,bh Bahrain,,,,"2,500",Josip Skoko,,Subkhiddin Salleh,Match Report,
2006-08-16,19:30 (05:30),AFC Asian Cup qualification,Qualifying round,Wed,Home,W,2,0,kw Kuwait,,,,"32,600",Kevin Muscat,,Huang Junjie,Match Report,
2006-09-01,19:30 (05:30),AFC Asian Cup qualification,Qualifying round,Fri,Home,,,,lb Lebanon,,,,,,,,Match Report,Match Cancelled
2006-09-06,20:30 (13:30),AFC Asian Cup qualification,Qualifying round,Wed,Away,L,0,2,kw Kuwait,,,,"8,000",Josip Skoko,,Toru Kamikawa,Match Report,
