Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee
2016-03-25,20:45 (15:45),Friendlies (M),Friendlies (M),Fri,Home,L,2,3,fr France,,,,"48,000",Wesley Sneijder,5-3-2,Felix Zwayer
2016-03-29,20:00 (15:00),Friendlies (M),Friendlies (M),Tue,Away,W,2,1,eng England,,,,"82,835",Daley Blind,4-2-3-1,Antonio Matéu Lahoz
2016-05-27,19:45 (14:45),Friendlies (M),Friendlies (M),Fri,Away,D,1,1,ie Rep. of Ireland,,,,"42,438",Kevin Strootman,,Artur Soares Dias
2016-06-01,20:45 (14:45),Friendlies (M),Friendlies (M),Wed,Away,W,2,1,pl Poland,,,,"40,392",Jeffrey Bruma,4-1-4-1,Miroslav Zelinka
2016-06-04,20:30 (14:30),Friendlies (M),Friendlies (M),Sat,Away,W,2,0,at Austria,,,,,,,Alberto Undiano
2016-09-01,20:45 (14:45),Friendlies (M),Friendlies (M),Thu,Home,L,1,2,gr Greece,,,,"36,128",Wesley Sneijder,4-3-3,Mete Kalkavan
2016-09-06,20:45 (14:45),WCQ,First round,Tue,Away,D,1,1,se Sweden,,,,"36,128",Wesley Sneijder,4-3-3,Daniele Orsato
2016-10-07,20:45 (14:45),WCQ,First round,Fri,Home,W,4,1,by Belarus,,,,"41,200",Wesley Sneijder,4-4-1-1,Craig Thomson
2016-10-10,20:45 (14:45),WCQ,First round,Mon,Home,L,0,1,fr France,,,,"50,220",Kevin Strootman,4-2-3-1,Damir Skomina
2016-11-09,20:45 (14:45),Friendlies (M),Friendlies (M),Wed,Home,D,1,1,be Belgium,,,,"37,500",Wesley Sneijder,4-1-4-1,Szymon Marciniak
2016-11-13,18:00 (12:00),WCQ,First round,Sun,Away,W,3,1,lu Luxembourg,,,,"8,000",Arjen Robben,4-3-3,Anthony Taylor
2015-03-28,20:45 (15:45),Euro Qualifying,Group stage,Sat,Home,D,1,1,tr Türkiye,,,66,"50,000",Wesley Sneijder,4-3-3,Felix Brych
2015-03-31,20:45 (14:45),Friendlies (M),Friendlies (M),Tue,Home,W,2,0,es Spain,,,,"51,500",Wesley Sneijder,4-1-4-1,William Collum
2015-06-05,20:30 (14:30),Friendlies (M),Friendlies (M),Fri,Home,L,3,4,us United States,,,,"46,000",Robin van Persie,,Martin Strömbergsson
2015-06-12,21:45 (14:45),Euro Qualifying,Group stage,Fri,Away,W,2,0,lv Latvia,,,64,"9,500",Robin van Persie,4-3-3,Svein Oddvar Moen
2015-09-03,20:45 (14:45),Euro Qualifying,Group stage,Thu,Home,L,0,1,is Iceland,,,66,"47,000",Arjen Robben,4-2-3-1,Milorad Mažić
2015-09-06,19:00 (12:00),Euro Qualifying,Group stage,Sun,Away,L,0,3,tr Türkiye,,,68,"41,007",Robin van Persie,4-3-2-1,Antonio Matéu Lahoz
2015-10-10,22:00 (12:00),Euro Qualifying,Group stage,Sat,Away,W,2,1,kz Kazakhstan,,,60,"20,716",Wesley Sneijder,4-3-3,Clément Turpin
