Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2015-01-27,19:00 (13:00),Africa Cup of Nations,Group stage,Tue,Home,L,0,2,dz Algeria,,,59,"14,549",,,Rajindraparsad Seechurn,Match Report,
2015-03-28,20:45 (15:45),Friendlies (M),Friendlies (M),Sat,Away,W,2,1,gh Ghana,,,,"5,466",,,Darren Bond,Match Report,
2015-06-07,17:00 (13:00),Friendlies (M),Friendlies (M),Sun,Away,L,0,1,mr Mauritania,,,,,,,Omar Sallah,Match Report,
2015-06-13,19:00 (15:00),Africa Cup of Nations qualification,Group stage,Sat,Home,W,3,1,bi Burundi,,,,,,,Mahamadou Keita,Match Report,
2015-09-05,14:30 (09:30),Africa Cup of Nations qualification,Group stage,Sat,Away,W,2,0,na Namibia,,,,,,,Wellington Kaoma,Match Report,
2015-09-08,19:00 (13:00),Friendlies (M),Friendlies (M),Tue,Away,L,0,1,za South Africa,,,,,,,Eric Otogo-Castane,Match Report,
2015-10-13,20:30 (15:30),Friendlies (M),Friendlies (M),Tue,Away,L,0,1,dz Algeria,,,,,,,Ibrahim Mamane,Match Report,
2015-11-13,14:30 (06:30),WCQ,Second round,Fri,Away,D,2,2,mg Madagascar,,,,,Cheikhou Kouyaté,,Hudu Munyemana,Match Report,Leg 1 of 2
2015-11-17,19:00 (14:00),WCQ,Second round,Tue,Home,W,3,0,mg Madagascar,,,,,Cheikhou Kouyaté,,Joshua Bondo,Match Report,Leg 2 of 2; Senegal won
2012-06-02,18:00 (14:00),WCQ,Second round,Sat,Home,W,3,1,lr Liberia,,,,"15,000",Papiss Cissé,,Noumandiez Doué,Match Report,
2012-06-09,16:00 (09:00),WCQ,Second round,Sat,Away,D,1,1,ug Uganda,,,,"30,000",Papiss Cissé,,Mohamed Benouza,Match Report,
2013-03-23,17:00 (13:00),WCQ,Second round,Sat,Home,D,1,1,ao Angola,,,,"13,500",Mohamed Diamé,,Alioum Alioum,Match Report,
2013-06-08,16:00 (11:00),WCQ,Second round,Sat,Away,D,1,1,ao Angola,,,,"40,000",Mohamed Diamé,,Bernard Camille,Match Report,
2013-06-16,16:00 (12:00),WCQ,Second round,Sun,Away,W,2,0,lr Liberia,,,,"35,000",Mohamed Diamé,,Davies Ogenche Omweno,Match Report,
2013-09-07,21:00 (16:00),WCQ,Second round,Sat,Home,W,1,0,ug Uganda,,,,"2,000",Mohamed Diamé,,Daniel Bennett,Match Report,
2013-10-12,17:00 (13:00),WCQ,Third round,Sat,Away,L,1,3,ci Côte d'Ivoire,,,,"30,000",Mohamed Diamé,,Rajindraparsad Seechurn,Match Report,Leg 1 of 2
2013-11-16,19:00 (14:00),WCQ,Third round,Sat,Home,D,1,1,ci Côte d'Ivoire,,,,"15,000",Bouna Coundoul,,Djamel Haïmoudi,Match Report,Leg 2 of 2; Côte d'Ivoire won
2014-03-05,19:00 (13:00),Friendlies (M),Friendlies (M),Wed,Home,D,1,1,ml Mali,,,,"1,500",Mohamed Diamé,,,Match Report,
2014-05-21,18:00 (14:00),Friendlies (M),Friendlies (M),Wed,Away,D,1,1,bf Burkina Faso,,,,"20,000",,,Ibrahim Mamane,Match Report,
2014-05-31,16:00 (17:00),Friendlies (M),Friendlies (M),Sat,Away,D,2,2,co Colombia,,,,,,,,Match Report,
2014-09-05,20:00 (16:00),Africa Cup of Nations qualification,Group stage,Fri,Home,W,2,0,eg Egypt,,,,,Bouna Coundoul,,Koman Coulibaly,Match Report,
2014-09-10,19:00 (13:00),Africa Cup of Nations qualification,Group stage,Wed,Away,W,2,0,bw Botswana,,,,,Bouna Coundoul,,Janny Sikazwe,Match Report,
2014-10-10,20:00 (16:00),Africa Cup of Nations qualification,Group stage,Fri,Home,D,0,0,tn Tunisia,,,,,Mohamed Diamé,,Eric Otogo-Castane,Match Report,
2014-10-15,20:15 (15:15),Africa Cup of Nations qualification,Group stage,Wed,Away,L,0,1,tn Tunisia,,,,,Mohamed Diamé,,Rajindraparsad Seechurn,Match Report,
2014-11-15,19:00 (12:00),Africa Cup of Nations qualification,Group stage,Sat,Away,W,1,0,eg Egypt,,,,,Bouna Coundoul,,Alioum Alioum,Match Report,
2014-11-19,19:00 (14:00),Africa Cup of Nations qualification,Group stage,Wed,Home,W,3,0,bw Botswana,,,,,Bouna Coundoul,,Mehdi Abid Charef,Match Report,
2012-01-21,22:00 (16:00),Africa Cup of Nations,Group stage,Sat,Home,L,1,2,zm Zambia,,,,"17,500",Mamadou Niang,,Alioum Alioum,Match Report,
2012-01-25,21:15 (15:15),Africa Cup of Nations,Group stage,Wed,Away,L,1,2,gq Equ. Guinea,,,,"35,000",Kader Mangane,,Khalid Abdel Rahman,Match Report,
2012-01-29,19:00 (13:00),Africa Cup of Nations,Group stage,Sun,Away,L,1,2,ly Libya,,,,"10,000",Mamadou Niang,,Rajindraparsad Seechurn,Match Report,
2012-06-02,18:00 (14:00),WCQ,Second round,Sat,Home,W,3,1,lr Liberia,,,,"15,000",Papiss Cissé,,Noumandiez Doué,Match Report,
2012-06-09,16:00 (09:00),WCQ,Second round,Sat,Away,D,1,1,ug Uganda,,,,"30,000",Papiss Cissé,,Mohamed Benouza,Match Report,
