Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee
2017-06-28,21:00 (14:00),FIFA Confederations Cup,Semi-finals,Wed,Neutral,D,0 (0),0 (3),cl Chile,,,41,"40,855",Cristiano Ronaldo,4-4-2,Alireza Faghani
2017-07-02,15:00 (08:00),FIFA Confederations Cup,Third-place match,Sun,Neutral,W,2,1,mx Mexico,,,52,"42,659",Nani,4-3-3,Fahad Al Mirdasi
2017-08-31,19:45 (14:45),WCQ,First round,Thu,Home,W,5,1,fo Faroe Islands,,,,"25,087",Cristiano Ronaldo,4-2-2-2,Srđan Jovanović
2017-09-03,20:45 (14:45),WCQ,First round,Sun,Away,W,1,0,hu Hungary,,,,"21,800",Cristiano Ronaldo,4-4-2,Danny Makkelie
2017-10-07,20:45 (14:45),WCQ,First round,Sat,Away,W,2,0,ad Andorra,,,,"3,193",Pepe,4-4-1-1,Miroslav Zelinka
2017-10-10,19:45 (14:45),WCQ,First round,Tue,Home,W,2,0,ch Switzerland,,,,"61,566",Cristiano Ronaldo,4-4-2,Cüneyt Çakιr
2017-11-10,20:45 (15:45),Friendlies (M),Friendlies (M),Fri,Home,W,3,0,sa Saudi Arabia,,,,"6,800",Pepe,4-4-2,Sebastian Colțescu
2017-11-14,20:45 (15:45),Friendlies (M),Friendlies (M),Tue,Home,D,1,1,us United States,,,,"19,017",,4-3-3,Sebastian Colțescu
2014-09-07,19:45 (14:45),Euro Qualifying,Group stage,Sun,Home,L,0,1,al Albania,,,60,"23,205",Nani,4-3-3,Ruddy Buquet
2014-10-14,20:45 (14:45),Euro Qualifying,Group stage,Tue,Away,W,1,0,dk Denmark,,,44,"36,562",Cristiano Ronaldo,4-3-1-2,Felix Brych
2014-11-14,19:45 (14:45),Euro Qualifying,Group stage,Fri,Home,W,1,0,am Armenia,,,64,"20,000",Cristiano Ronaldo,4-4-2,Tasos Sidiropoulos
2015-03-29,19:45 (14:45),Euro Qualifying,Group stage,Sun,Home,W,2,1,rs Serbia,,,53,"58,430",Cristiano Ronaldo,4-3-3,Gianluca Rocchi
2015-06-13,20:00 (12:00),Euro Qualifying,Group stage,Sat,Away,W,3,2,am Armenia,,,46,,Cristiano Ronaldo,4-3-3,Serge Gumienny
2015-09-07,20:45 (14:45),Euro Qualifying,Group stage,Mon,Away,W,1,0,al Albania,,,52,"12,121",Cristiano Ronaldo,4-3-3,Jonas Eriksson
2015-10-08,19:45 (14:45),Euro Qualifying,Group stage,Thu,Home,W,1,0,dk Denmark,,,51,"29,860",Cristiano Ronaldo,4-5-1,Mark Clattenburg
2015-10-11,18:00 (12:00),Euro Qualifying,Group stage,Sun,Away,W,2,1,rs Serbia,,,40,"4,290",Nani,4-1-4-1,David Fernández
2016-03-25,20:45 (16:45),Friendlies (M),Friendlies (M),Fri,Home,L,0,1,bg Bulgaria,,,,"19,355",,,Carlos Clos Gómez
2016-03-29,19:45 (14:45),Friendlies (M),Friendlies (M),Tue,Home,W,2,1,be Belgium,,,,"21,157",Cristiano Ronaldo,4-2-2-2,Stephan Klossner
2016-05-29,20:45 (15:45),Friendlies (M),Friendlies (M),Sun,Home,W,3,0,no Norway,,,,"30,000",,,Padraigh Sutton
2016-06-02,19:45 (14:45),Friendlies (M),Friendlies (M),Thu,Away,L,0,1,eng England,,,,"82,503",Nani,4-2-2-2,Marco Guida
2016-06-08,19:45 (14:45),Friendlies (M),Friendlies (M),Wed,Home,W,7,0,ee Estonia,,,,"52,536",Cristiano Ronaldo,4-2-2-2,Bart Vertenten
2016-06-14,21:00 (15:00),UEFA Euro,Group stage,Tue,Neutral,D,1,1,is Iceland,,,72,"38,742",Cristiano Ronaldo,4-1-2-1-2,Cüneyt Çakιr
2016-06-18,21:00 (15:00),UEFA Euro,Group stage,Sat,Neutral,D,0,0,at Austria,,,59,"44,291",Cristiano Ronaldo,4-4-2,Nicola Rizzoli
2016-06-22,18:00 (12:00),UEFA Euro,Group stage,Wed,Neutral,D,3,3,hu Hungary,,,63,"55,514",Cristiano Ronaldo,4-4-2,Martin Atkinson
2016-06-25,21:00 (15:00),UEFA Euro,Round of 16,Sat,Neutral,W,1,0,hr Croatia,,,41,"33,523",Cristiano Ronaldo,4-4-2,Carlos Velasco
2016-06-30,21:00 (15:00),UEFA Euro,Quarter-finals,Thu,Neutral,D,1 (5),1 (3),pl Poland,,,48,"62,940",Cristiano Ronaldo,4-1-3-2,Felix Brych
2016-07-06,21:00 (15:00),UEFA Euro,Semi-finals,Wed,Neutral,W,2,0,wls Wales,,,44,"55,679",Cristiano Ronaldo,4-1-2-1-2,Jonas Eriksson
2016-07-10,21:00 (15:00),UEFA Euro,Final,Sun,Home,W,1,0,fr France,,,44,"75,868",Cristiano Ronaldo,4-1-3-2,Mark Clattenburg
2016-09-01,19:45 (14:45),Friendlies (M),Friendlies (M),Thu,Home,W,5,0,gi Gibraltar,,,,"22,238",Nani,4-1-4-1,Erez Papir
2016-09-06,20:45 (14:45),WCQ,First round,Tue,Away,L,0,2,ch Switzerland,,,,"36,000",Nani,4-3-3,Antonio Matéu Lahoz
2016-10-07,19:45 (14:45),WCQ,First round,Fri,Home,W,6,0,ad Andorra,,,,"25,120",Cristiano Ronaldo,4-4-2,Oliver Drachta
2016-10-10,19:45 (14:45),WCQ,First round,Mon,Away,W,6,0,fo Faroe Islands,,,,"4,780",Cristiano Ronaldo,4-4-2,Gediminas Mažeika
2016-11-13,19:45 (14:45),WCQ,First round,Sun,Home,W,4,1,lv Latvia,,,,"20,744",Cristiano Ronaldo,4-5-1,Bobby Madden
2015-03-29,19:45 (14:45),Euro Qualifying,Group stage,Sun,Home,W,2,1,rs Serbia,,,53,"58,430",Cristiano Ronaldo,4-3-3,Gianluca Rocchi
2015-03-31,20:45 (15:45),Friendlies (M),Friendlies (M),Tue,Home,L,0,2,cv Cape Verde,,,,"3,500",,,Ovidiu Hațegan
2015-06-13,20:00 (12:00),Euro Qualifying,Group stage,Sat,Away,W,3,2,am Armenia,,,46,,Cristiano Ronaldo,4-3-3,Serge Gumienny
2015-06-16,20:30 (14:30),Friendlies (M),Friendlies (M),Tue,Away,W,1,0,it Italy,,,,"18,024",Bruno Alves,4-1-4-1,Stéphan Studer
2015-09-04,19:45 (14:45),Friendlies (M),Friendlies (M),Fri,Home,L,0,1,fr France,,,,"39,853",Cristiano Ronaldo,4-1-4-1,Danny Makkelie
2015-09-07,20:45 (14:45),Euro Qualifying,Group stage,Mon,Away,W,1,0,al Albania,,,52,"12,121",Cristiano Ronaldo,4-3-3,Jonas Eriksson
2015-10-08,19:45 (14:45),Euro Qualifying,Group stage,Thu,Home,W,1,0,dk Denmark,,,51,"29,860",Cristiano Ronaldo,4-5-1,Mark Clattenburg
2015-10-11,18:00 (12:00),Euro Qualifying,Group stage,Sun,Away,W,2,1,rs Serbia,,,40,"4,290",Nani,4-1-4-1,David Fernández
2015-11-14,17:00 (09:00),Friendlies (M),Friendlies (M),Sat,Away,L,0,1,ru Russia,,,,"32,000",,,Milorad Mažić
2015-11-17,20:30 (14:30),Friendlies (M),Friendlies (M),Tue,Away,W,2,0,lu Luxembourg,,,,"8,031",,,Tony Chapron
2012-09-07,20:45 (14:45),WCQ,First round,Fri,Away,W,2,1,lu Luxembourg,,,,"8,125",Cristiano Ronaldo,,Kristo Tohver
2012-09-11,20:15 (15:15),WCQ,First round,Tue,Home,W,3,0,az Azerbaijan,,,,"29,971",Cristiano Ronaldo,,Szymon Marciniak
2012-10-12,19:00 (11:00),WCQ,First round,Fri,Away,L,0,1,ru Russia,,,,"54,212",Cristiano Ronaldo,,Viktor Kassai
2012-10-16,20:45 (15:45),WCQ,First round,Tue,Home,D,1,1,nir Northern Ireland,,,,"48,711",Cristiano Ronaldo,,Thorsten Kinhöfer
2013-03-22,14:45 (08:45),WCQ,First round,Fri,Away,D,3,3,il Israel,,,,"38,600",Cristiano Ronaldo,,Stéphane Lannoy
2013-03-26,21:00 (13:00),WCQ,First round,Tue,Away,W,2,0,az Azerbaijan,,,,"30,000",Bruno Alves,,Andre Marriner
2013-06-07,20:45 (15:45),WCQ,First round,Fri,Home,W,1,0,ru Russia,,,,"54,697",Cristiano Ronaldo,,Damir Skomina
2013-09-06,19:45 (14:45),WCQ,First round,Fri,Away,W,4,2,nir Northern Ireland,,,,"13,629",Cristiano Ronaldo,,Danny Makkelie
2013-10-11,20:45 (15:45),WCQ,First round,Fri,Home,D,1,1,il Israel,,,,"48,317",Cristiano Ronaldo,,Tom Hagen
2013-10-15,18:00 (13:00),WCQ,First round,Tue,Home,W,3,0,lu Luxembourg,,,,"18,955",Nani,,Bülent Yıldırım
2013-11-15,19:45 (14:45),WCQ,Second round,Fri,Home,W,1,0,se Sweden,,,,"61,467",Cristiano Ronaldo,,Nicola Rizzoli
2013-11-19,20:45 (14:45),WCQ,Second round,Tue,Away,W,3,2,se Sweden,,,,"49,766",Cristiano Ronaldo,,Howard Webb
